Rank,Gender,Forename,Incidence,Frequency
256,M,Milija,5482,1:1303
257,M,Dalibor,5446,1:1312
258,M,Ljubisav,5444,1:1313
259,F,Stanka,5419,1:1319
260,F,Nadica,5388,1:1326
261,F,Jela,5372,1:1330
262,F,Ljuba,5323,1:1342
263,M,Todor,5292,1:1350
264,M,Šandor,5272,1:1355
265,M,Danilo,5219,1:1369
266,F,Andreja,5214,1:1370
267,M,Živadin,5210,1:1372
268,F,Ksenija,5203,1:1373
269,F,Katalin,5195,1:1375
270,M,Borisav,5158,1:1385
271,F,Kristina,5155,1:1386
272,M,Časlav,5139,1:1390
273,F,Sima,5120,1:1396
274,F,Živana,5102,1:1401
275,M,Nemanja,5000,1:1429
276,F,Jelka,4997,1:1430
277,M,Dragi,4985,1:1433
278,M,Staniša,4973,1:1437
279,M,Radivoj,4966,1:1439
280,F,Marijana,4912,1:1455
281,M,Radojica,4902,1:1458
282,F,Jelisaveta,4894,1:1460
283,M,Jugoslav,4892,1:1461
284,M,Zvonimir,4885,1:1463
285,M,Jan,4851,1:1473
286,M,Slađan,4827,1:1480
287,M,Branimir,4826,1:1481
288,M,Bora,4817,1:1483
289,M,Robert,4811,1:1485
290,M,Aca,4771,1:1498
291,M,Radojko,4717,1:1515
292,M,Uroš,4715,1:1516
293,M,Vukašin,4701,1:1520
294,M,Cvetko,4639,1:1540
295,F,Dobrinka,4635,1:1542
296,F,Draga,4624,1:1545
297,F,Grozdana,4602,1:1553
298,M,Srećko,4597,1:1554
299,M,Desimir,4590,1:1557
300,M,Živomir,4586,1:1558
301,M,Kosta,4577,1:1561
302,F,Anđa,4576,1:1562
302,F,Ranka,4576,1:1562
304,F,Rosa,4555,1:1569
305,M,Vasilije,4540,1:1574
305,M,Zvonko,4540,1:1574
307,F,Vida,4505,1:1586
308,F,Ankica,4499,1:1588
309,F,Valentina,4476,1:1596
310,M,Novak,4475,1:1597
311,F,Ilinka,4465,1:1600
312,M,Karolj,4438,1:1610
313,M,Toplica,4415,1:1619
314,M,Mihailo,4372,1:1634
315,M,Pero,4360,1:1639
316,M,Srboljub,4355,1:1641
317,F,Sveta,4354,1:1641
318,F,Spomenka,4319,1:1654
319,M,Mihalj,4294,1:1664
319,M,Veroljub,4294,1:1664
321,F,Jovana,4275,1:1672
322,F,Anđelija,4266,1:1675
323,F,Brankica,4263,1:1676
324,M,Milivoj,4215,1:1695
325,M,Boris,4177,1:1711
326,M,Imre,4165,1:1716
327,M,Svetomir,4161,1:1717
328,F,Božana,4151,1:1721
329,F,Tijana,4096,1:1745
330,M,Lajoš,4061,1:1760
331,M,Andraš,4020,1:1778
332,M,Savo,4010,1:1782
333,M,Prvoslav,3981,1:1795
334,M,Jordan,3948,1:1810
335,M,Stanoje,3947,1:1810
336,F,Milunka,3935,1:1816
337,M,Ljubodrag,3924,1:1821
338,M,Drago,3900,1:1832
339,M,Milun,3892,1:1836
340,F,Evica,3874,1:1845
341,M,Vladislav,3871,1:1846
342,F,Femi,3868,1:1847
343,F,Božica,3833,1:1864
344,M,Radoš,3780,1:1890
345,F,Gizela,3775,1:1893
346,M,Stevo,3741,1:1910
347,F,Živa,3709,1:1927
348,M,Milić,3708,1:1927
349,F,Nermin,3687,1:1938
350,M,Vidoje,3686,1:1939
351,F,Dragoslava,3651,1:1957
352,M,Rodoljub,3644,1:1961
353,M,Miomir,3602,1:1984
354,M,Aleksa,3586,1:1993
355,M,Božo,3578,1:1997
356,F,Milojka,3564,1:2005
357,M,Pavel,3524,1:2028
358,M,Vojin,3509,1:2036
359,F,Emina,3496,1:2044
360,M,Ljubivoje,3491,1:2047
361,F,Danka,3480,1:2053
362,M,Milinko,3475,1:2056
363,F,Mališa,3459,1:2066
364,F,Smiljana,3439,1:2078
365,M,Stanislav,3410,1:2096
366,F,Živadinka,3400,1:2102
367,F,Miša,3379,1:2115
368,M,Radmilo,3369,1:2121
369,M,Vlado,3366,1:2123
370,M,Mića,3361,1:2126
371,F,Rajka,3303,1:2163
372,M,Stojadin,3282,1:2177
373,F,Blagica,3264,1:2189
374,M,Milojko,3255,1:2195
375,M,Anđelko,3230,1:2212
375,F,Milosava,3230,1:2212
377,F,Julka,3225,1:2216
378,M,Boža,3220,1:2219
379,M,Dobrosav,3205,1:2230
380,M,Krsta,3195,1:2237
381,F,Valerija,3180,1:2247
382,F,Suad,3179,1:2248
383,F,Savka,3173,1:2252
384,M,Hranislav,3160,1:2261
385,M,Antal,3159,1:2262
386,F,Zuzana,3119,1:2291
387,F,Sandra,3118,1:2292
388,M,Pera,3116,1:2293
389,F,Lela,3078,1:2322
390,M,Atila,3071,1:2327
391,M,Vasa,3057,1:2337
392,F,Bela,3056,1:2338
393,F,Novka,3015,1:2370
394,F,Terezija,3009,1:2375
395,F,Stanica,2882,1:2479
396,M,Antun,2881,1:2480
397,M,Adam,2838,1:2518
398,M,Marinko,2796,1:2556
399,F,Piroška,2795,1:2557
400,F,Fatima,2788,1:2563
400,F,Roža,2788,1:2563
402,F,Zlatica,2782,1:2569
403,F,Vukica,2775,1:2575
404,F,Verka,2730,1:2617
405,F,Erika,2712,1:2635
406,F,Vladanka,2711,1:2636
407,F,Veselinka,2710,1:2637
408,F,Lenka,2690,1:2656
409,F,Margit,2669,1:2677
410,M,Radoljub,2667,1:2679
411,F,Klara,2662,1:2684
412,M,Đerđ,2661,1:2685
413,F,Vanja,2659,1:2687
414,M,Borivoj,2640,1:2707
415,F,Nedeljka,2629,1:2718
416,M,Filip,2624,1:2723
417,M,Dragić,2612,1:2736
418,M,Čedo,2585,1:2764
419,F,Gospava,2555,1:2797
420,M,Franja,2554,1:2798
421,M,Spasoje,2528,1:2827
422,M,Marjan,2515,1:2841
423,F,Ratka,2500,1:2858
424,F,Radinka,2496,1:2863
425,F,Marta,2490,1:2870
426,F,Viktorija,2476,1:2886
427,M,Bogosav,2467,1:2897
428,M,Zlatomir,2458,1:2907
429,F,Stanojka,2425,1:2947
430,M,Toma,2422,1:2950
431,M,Ostoja,2421,1:2952
432,F,Iren,2418,1:2955
433,F,Kadri,2403,1:2974
433,F,Željka,2403,1:2974
435,M,Mitar,2400,1:2977
436,F,Smiljka,2399,1:2979
437,F,Dijana,2384,1:2997
437,M,Ismet,2384,1:2997
439,M,Radislav,2378,1:3005
440,M,Peter,2368,1:3018
441,M,Vidosav,2351,1:3039
442,F,Kosa,2349,1:3042
443,F,Jova,2340,1:3054
444,M,Borko,2317,1:3084
445,F,Veronika,2315,1:3087
446,F,Elizabeta,2282,1:3131
447,F,Ljilja,2258,1:3165
448,F,Kruna,2248,1:3179
449,M,Žika,2247,1:3180
450,F,Maria,2246,1:3182
451,M,Vladeta,2243,1:3186
452,M,Simo,2242,1:3187
453,F,Petra,2230,1:3204
454,F,Živanka,2226,1:3210
455,M,Žikica,2219,1:3220
456,F,Snezana,2206,1:3239
457,F,Žaklina,2203,1:3244
458,M,Gabor,2202,1:3245
459,F,Kosara,2192,1:3260
460,F,Etelka,2169,1:3294
460,F,Radosava,2169,1:3294
462,F,Stoja,2160,1:3308
463,M,Vojkan,2158,1:3311
464,F,Ilonka,2155,1:3316
465,M,Danijel,2144,1:3333
465,F,Kosana,2144,1:3333
467,F,Milenka,2137,1:3344
468,F,Anita,2134,1:3349
469,F,Milana,2122,1:3367
470,F,Zdenka,2115,1:3379
471,F,Žužana,2113,1:3382
472,F,Budimka,2107,1:3391
473,F,Milenija,2090,1:3419
474,F,Zorana,2077,1:3440
475,M,Boro,2066,1:3459
476,F,Dara,2065,1:3460
477,F,Ragmi,2061,1:3467
477,F,Veroslava,2061,1:3467
479,M,Jano,2056,1:3476
480,M,Stefan,2050,1:3486
481,F,Miljana,2046,1:3493
482,F,Dubravka,2034,1:3513
483,F,Ramiza,2027,1:3525
484,M,Milanko,2026,1:3527
485,F,Velinka,2024,1:3530
486,F,Andrijana,2013,1:3550
487,F,Sunčica,2001,1:3571
488,F,Radunka,1995,1:3582
489,F,Đula,1989,1:3593
490,F,Milina,1984,1:3602
491,F,Persa,1983,1:3603
492,F,Janja,1981,1:3607
493,M,Dane,1980,1:3609
494,F,Elvira,1960,1:3646
495,F,Zdravka,1945,1:3674
496,F,Verona,1938,1:3687
497,F,Magdolna,1934,1:3695
498,M,Redžep,1928,1:3706
499,M,Stipan,1922,1:3718
500,M,Vaso,1909,1:3743
501,M,Tomica,1898,1:3765
502,M,Periša,1896,1:3769
503,F,Radoslava,1882,1:3797
504,F,Milja,1878,1:3805
505,M,Nandor,1877,1:3807
506,M,Damir,1873,1:3815
506,F,Selver,1873,1:3815
508,F,Brana,1869,1:3823
508,F,Stanimirka,1869,1:3823
510,F,Rajna,1868,1:3825
511,F,Persida,1865,1:3831
512,M,Lazo,1853,1:3856
512,M,Srbislav,1853,1:3856
514,F,Margita,1834,1:3896
515,M,Gvozden,1833,1:3898
516,F,Božidarka,1832,1:3901
517,F,Srbijanka,1810,1:3948
518,M,Ljubo,1807,1:3954
519,F,Sali,1798,1:3974
520,M,Velizar,1796,1:3979
521,M,Oliver,1794,1:3983
522,M,Petko,1786,1:4001
523,M,Ramiz,1782,1:4010
524,M,Jon,1773,1:4030
525,F,Bogdanka,1770,1:4037
526,M,Brane,1764,1:4051
527,F,Ibolja,1758,1:4065
527,M,Obren,1758,1:4065
529,M,Emil,1753,1:4076
530,F,Aranka,1752,1:4079
531,F,Julija,1747,1:4090
532,M,Voja,1741,1:4104
533,M,Vinko,1737,1:4114
534,F,Jasmin,1733,1:4123
535,F,Mita,1730,1:4130
536,M,Vukadin,1729,1:4133
537,M,Zlatan,1727,1:4138
538,M,Živoslav,1726,1:4140
539,F,Zlatija,1724,1:4145
540,F,Ester,1718,1:4159
541,M,Geza,1717,1:4162
542,M,Đurica,1711,1:4176
543,F,Milinka,1702,1:4198
544,F,Radenka,1699,1:4206
545,F,Malina,1693,1:4221
546,F,Daliborka,1690,1:4228
547,M,Draško,1676,1:4264
548,M,Čaba,1663,1:4297
549,F,Grozda,1648,1:4336
550,M,Pal,1646,1:4341
550,F,Stanislava,1646,1:4341
552,F,Hristina,1639,1:4360
553,M,Negovan,1632,1:4379
554,F,Vojka,1627,1:4392
554,M,Ćenan,1627,1:4392
556,M,Neđo,1626,1:4395
557,F,Latinka,1615,1:4425
558,F,Đurđica,1607,1:4447
559,F,Milomirka,1606,1:4449
560,F,Radomirka,1602,1:4460
560,F,Radovanka,1602,1:4460
562,M,Vlajko,1601,1:4463
563,F,Stanija,1598,1:4472
564,F,Denis,1597,1:4474
565,M,Trajko,1588,1:4500
566,M,Esad,1586,1:4505
566,F,Nina,1586,1:4505
568,M,Miljan,1583,1:4514
568,F,Mirka,1583,1:4514
570,M,Bajram,1576,1:4534
571,M,Franjo,1571,1:4549
572,F,Elena,1570,1:4551
573,F,Zvezdana,1569,1:4554
574,F,Magdalena,1565,1:4566
575,M,Miljko,1556,1:4592
576,M,Martin,1555,1:4595
577,M,Rudolf,1527,1:4680
578,F,Dana,1525,1:4686
579,M,Safet,1524,1:4689
580,M,Daut,1523,1:4692
581,F,Iva,1512,1:4726
582,M,Golub,1506,1:4745
583,M,Adem,1500,1:4764
584,M,Mićo,1497,1:4773
585,M,Mikica,1484,1:4815
586,F,Cvijeta,1480,1:4828
587,M,Ljuban,1476,1:4841
588,M,Grujica,1475,1:4845
589,M,Mihal,1468,1:4868
590,M,Slavomir,1462,1:4888
591,F,Edit,1453,1:4918
592,F,Helena,1452,1:4921
593,F,Boja,1412,1:5061
594,M,Milijan,1406,1:5082
594,M,Milos,1406,1:5082
596,F,Negosava,1397,1:5115
597,M,Ramadan,1394,1:5126
598,M,Čeda,1390,1:5141
599,M,Risto,1378,1:5186
600,F,Roksanda,1375,1:5197
601,F,Taljat,1366,1:5231
602,F,Desa,1364,1:5239
603,F,Ildiko,1347,1:5305
604,F,Miladinka,1340,1:5333
605,M,Alija,1335,1:5353
606,M,Bogomir,1333,1:5361
607,M,Srba,1330,1:5373
608,F,Gabrijela,1327,1:5385
609,F,Neda,1317,1:5426
610,M,Gavrilo,1316,1:5430
611,M,Jaroslav,1308,1:5463
612,M,Stevica,1305,1:5476
613,M,Viktor,1299,1:5501
614,M,Mišo,1297,1:5509
615,M,Steva,1293,1:5526
616,M,Ninoslav,1289,1:5544
617,M,Dragoje,1283,1:5570
617,F,Irina,1283,1:5570
619,M,Jonel,1279,1:5587
620,F,Jelisavka,1273,1:5613
621,F,Rosanda,1269,1:5631
622,M,Enver,1267,1:5640
623,F,Tereza,1261,1:5667
624,F,Silvana,1252,1:5707
625,F,Stojana,1251,1:5712
626,M,Arpad,1250,1:5717
626,M,Zvezdan,1250,1:5717
628,F,Terez,1245,1:5740
629,F,Hajrija,1244,1:5744
630,M,Jene,1240,1:5763
631,M,Gordan,1239,1:5767
631,M,Joviša,1239,1:5767
633,F,Andrea,1237,1:5777
633,M,Erne,1237,1:5777
633,F,Milesa,1237,1:5777
636,F,Avdula,1233,1:5795
637,M,Krsto,1231,1:5805
638,M,Dobrivoj,1229,1:5814
639,M,Tomo,1225,1:5833
640,F,Saveta,1223,1:5843
641,M,Đoka,1220,1:5857
642,M,Petronije,1217,1:5872
642,M,Velisav,1217,1:5872
644,M,Trifun,1216,1:5876
645,M,Želimir,1211,1:5901
646,M,Najdan,1205,1:5930
647,M,Ondrej,1202,1:5945
648,M,Šaban,1197,1:5970
649,M,Jakov,1196,1:5975
650,M,Vujadin,1193,1:5990
651,M,Josif,1188,1:6015
652,F,Joka,1184,1:6035
652,F,Juliana,1184,1:6035
654,F,Cvetanka,1183,1:6040
655,F,Natasa,1180,1:6056
656,M,Ognjen,1176,1:6076
657,F,Nela,1175,1:6081
658,F,Radina,1170,1:6107
658,M,Trajan,1170,1:6107
660,F,Renata,1169,1:6113
661,F,Stojna,1163,1:6144
662,M,Rista,1161,1:6155
663,M,Boriša,1158,1:6171
664,F,Bosa,1157,1:6176
665,F,Bahrija,1149,1:6219
665,M,Davor,1149,1:6219
667,M,Vlade,1147,1:6230
668,F,Ismeta,1145,1:6241
668,F,Melanija,1145,1:6241
668,F,Monika,1145,1:6241
671,M,Ibrahim,1140,1:6268
671,M,Zlatibor,1140,1:6268
673,M,Muharem,1135,1:6296
674,M,Laza,1133,1:6307
675,F,Kimeta,1132,1:6312
676,F,Borislava,1129,1:6329
676,M,Vuk,1129,1:6329
678,F,Borbala,1124,1:6357
678,M,Negoslav,1124,1:6357
680,M,Životije,1122,1:6369
681,F,Milovanka,1120,1:6380
682,M,Kostadin,1110,1:6438
683,M,Aco,1104,1:6473
683,F,Gabriela,1104,1:6473
685,F,Karolina,1103,1:6478
686,F,Teodora,1102,1:6484
687,M,Rifat,1100,1:6496
688,M,Murat,1099,1:6502
689,M,Svetolik,1097,1:6514
690,M,Džemail,1095,1:6526
691,M,Jusuf,1092,1:6544
692,M,Jezdimir,1090,1:6556
693,M,Omer,1089,1:6562
694,F,Silvija,1084,1:6592
695,M,Mustafa,1081,1:6610
696,M,Pantelija,1079,1:6623
697,M,Radan,1073,1:6660
698,F,Jolan,1071,1:6672
699,F,Angela,1067,1:6697
700,M,Milen,1066,1:6703
701,F,Daniela,1063,1:6722
702,F,Dragojla,1062,1:6729
702,F,Enisa,1062,1:6729
704,M,Konstantin,1057,1:6760
705,F,Višnja,1048,1:6818
706,F,Ljubina,1047,1:6825
706,F,Živica,1047,1:6825
708,F,Kosovka,1042,1:6858
709,F,Agneš,1037,1:6891
709,M,Karlo,1037,1:6891
711,M,Adnan,1032,1:6924
712,M,Miloljub,1029,1:6944
713,M,Naser,1027,1:6958
714,M,Mijodrag,1023,1:6985
715,F,Esma,1022,1:6992
716,M,Stjepan,1017,1:7026
717,M,Panta,1015,1:7040
718,M,Vujica,1012,1:7061
719,M,Osman,1011,1:7068
720,M,Paja,1004,1:7117
721,F,Ratomirka,1003,1:7124
722,M,Anton,997,1:7167
723,F,Vladislava,990,1:7218
724,M,Ladislav,988,1:7233
724,F,Slavojka,988,1:7233
726,M,Antonije,987,1:7240
727,F,Zija,985,1:7255
728,F,Hajnalka,983,1:7269
729,M,Vidan,981,1:7284
730,F,Franciška,980,1:7292
731,F,Đurđevka,977,1:7314
732,M,Dragorad,972,1:7352
732,M,Hajro,972,1:7352
732,F,Kornelija,972,1:7352
735,F,Vojislava,971,1:7359
736,M,Danko,969,1:7374
736,M,Deže,969,1:7374
738,M,Radoica,964,1:7413
739,M,Ranđel,960,1:7443
740,F,Spasenija,959,1:7451
741,F,Stanika,954,1:7490
742,F,Sabaheta,944,1:7570
742,M,Vukosav,944,1:7570
744,F,Etel,943,1:7578
745,F,Eleonora,941,1:7594
746,M,Elvir,932,1:7667
747,F,Nafija,931,1:7675
748,M,Izet,929,1:7692
749,F,Alit,928,1:7700
750,F,Roza,925,1:7725
751,M,Jelenko,922,1:7750
752,F,Feta,920,1:7767
753,M,David,916,1:7801
754,F,Edita,915,1:7810
755,M,Agim,913,1:7827
756,M,Mirsad,911,1:7844
757,M,Asan,910,1:7852
758,F,Branislavka,909,1:7861
759,M,Vojimir,905,1:7896
760,F,Milosija,900,1:7940
761,M,Dmitar,893,1:8002
761,M,Paun,893,1:8002
763,F,Negica,892,1:8011
764,F,Miljka,889,1:8038
765,M,Joca,886,1:8065
766,F,Velika,884,1:8083
767,M,Selimir,882,1:8102
767,M,Đurđe,882,1:8102
769,M,Dragoš,880,1:8120
770,F,Cana,878,1:8139
770,F,Muradija,878,1:8139
772,F,Mladenka,875,1:8167
773,F,Zineta,874,1:8176
774,M,Besim,872,1:8195
774,F,Jordanka,872,1:8195
776,M,Đurađ,867,1:8242
777,M,Ekrem,865,1:8261
778,M,Muhamed,856,1:8348
778,M,Sredoje,856,1:8348
780,M,Zdenko,854,1:8367
781,F,Lepa,852,1:8387
782,M,Nusret,848,1:8427
783,M,Endre,847,1:8437
784,M,Daniel,844,1:8466
