Rank,Gender,Forename,Incidence,Frequency
832,M,Andrej,756,1:9452
833,M,Nazim,750,1:9528
834,M,Muamer,748,1:9553
834,F,Sanela,748,1:9553
836,F,Bisera,747,1:9566
836,F,Ema,747,1:9566
836,F,Mica,747,1:9566
839,F,Perka,746,1:9579
840,F,Hadija,744,1:9604
840,M,Spira,744,1:9604
842,M,Relja,742,1:9630
843,F,Rabija,738,1:9683
844,F,Vesela,733,1:9749
845,F,Vasilija,732,1:9762
846,F,Aniko,731,1:9775
847,F,Ikonija,730,1:9789
848,M,Nedžat,729,1:9802
849,F,Senada,726,1:9843
849,F,Snježana,726,1:9843
851,M,Marin,725,1:9856
851,F,Radula,725,1:9856
853,M,Aranđel,724,1:9870
854,M,Fatmir,723,1:9883
855,F,Barbara,721,1:9911
856,F,Sanija,719,1:9938
857,F,Bisenija,716,1:9980
857,M,Raško,716,1:9980
859,F,Mata,715,1:9994
860,M,Senad,713,1:10022
861,M,Ivko,712,1:10036
862,M,Edin,707,1:10107
863,M,Cvetan,705,1:10136
864,M,Vukomir,695,1:10282
865,M,Ahmedin,690,1:10356
866,F,Radoslavka,689,1:10371
867,F,Dejana,685,1:10432
868,M,Mehdija,684,1:10447
868,F,Mina,684,1:10447
870,M,Teodor,683,1:10462
871,M,Hristivoje,681,1:10493
871,M,Ivo,681,1:10493
873,M,Gligorije,680,1:10508
874,F,Elmi,679,1:10524
875,M,Strahinja,677,1:10555
876,M,Ramo,673,1:10618
877,F,Mirsada,669,1:10681
877,M,Sulejman,669,1:10681
879,F,Ida,667,1:10713
880,F,Tomka,666,1:10729
881,M,Dusan,663,1:10778
881,F,Isidora,663,1:10778
881,F,Petrija,663,1:10778
881,M,Sead,663,1:10778
885,M,Refik,661,1:10810
885,M,Skender,661,1:10810
885,M,Vladisav,661,1:10810
888,M,Ervin,660,1:10827
889,M,Tadija,659,1:10843
890,F,Ljutvija,657,1:10876
890,F,Zuza,657,1:10876
892,M,Husein,656,1:10893
893,F,Ivka,655,1:10909
893,M,Nikica,655,1:10909
893,M,Simeon,655,1:10909
896,F,Borika,653,1:10943
897,F,Judit,652,1:10960
897,M,Rešad,652,1:10960
899,M,Samuel,651,1:10977
900,F,Manda,650,1:10993
901,M,Fadilj,649,1:11010
902,F,Georgina,648,1:11027
902,F,Gorana,648,1:11027
904,M,Isa,645,1:11079
905,F,Mujesira,644,1:11096
905,F,Otilija,644,1:11096
905,F,Paulina,644,1:11096
908,M,Cvetin,643,1:11113
908,M,Oto,643,1:11113
910,F,Andra,640,1:11165
910,M,Blagoja,640,1:11165
912,F,Dafina,635,1:11253
913,F,Ferida,634,1:11271
913,F,Ramize,634,1:11271
913,M,Veliša,634,1:11271
913,M,Zejdi,634,1:11271
917,F,Blaža,632,1:11307
917,M,Harun,632,1:11307
917,M,Milentije,632,1:11307
920,F,Džemilja,631,1:11324
920,M,Faruk,631,1:11324
920,F,Sadija,631,1:11324
923,F,Fatime,628,1:11379
923,F,Olja,628,1:11379
925,M,Ante,626,1:11415
925,F,Mija,626,1:11415
925,F,Zlatinka,626,1:11415
928,M,Dragovan,625,1:11433
928,F,Kadivka,625,1:11433
928,F,Kira,625,1:11433
931,M,Mika,624,1:11451
931,M,Ćazim,624,1:11451
933,M,Dobri,623,1:11470
934,F,Gorgina,622,1:11488
935,M,Iso,621,1:11507
936,M,Anđel,620,1:11525
937,F,Milada,619,1:11544
938,F,Savica,618,1:11563
939,F,Budimirka,616,1:11600
940,M,Damjan,613,1:11657
941,M,Kemal,612,1:11676
942,M,Mlađen,611,1:11695
943,F,Slovenka,610,1:11714
944,M,Viden,607,1:11772
945,M,Juraj,606,1:11792
946,F,Borica,605,1:11811
947,F,Bosanka,604,1:11831
947,M,Idriz,604,1:11831
949,F,Ljeposava,602,1:11870
949,M,Rešat,602,1:11870
951,M,Faik,599,1:11929
952,F,Kostadinka,598,1:11949
952,F,Radivojka,598,1:11949
952,M,Uglješa,598,1:11949
955,F,Jarmila,597,1:11969
955,M,Sabit,597,1:11969
957,M,Blagomir,593,1:12050
957,M,Vasil,593,1:12050
959,F,Nena,591,1:12091
960,M,Blažo,588,1:12153
960,M,Silvester,588,1:12153
962,F,Matilda,583,1:12257
963,M,Ismail,582,1:12278
964,M,Sadat,581,1:12299
965,F,Mejrema,579,1:12341
966,M,Ilir,578,1:12363
967,F,Hatidža,577,1:12384
967,F,Đurđina,577,1:12384
969,M,Dragojlo,576,1:12406
969,M,Grozdan,576,1:12406
971,M,Veličko,574,1:12449
972,F,Leona,573,1:12471
972,M,Marijan,573,1:12471
972,F,Timea,573,1:12471
975,M,Đoko,570,1:12536
976,M,Mensur,569,1:12558
976,F,Nikolina,569,1:12558
978,F,Hedija,568,1:12580
978,F,Jevrosima,568,1:12580
980,F,Bogdana,566,1:12625
981,M,Krstivoje,565,1:12647
982,F,Stanojla,564,1:12670
983,F,Jelenka,563,1:12692
984,M,Afrim,561,1:12737
985,F,Dalija,560,1:12760
986,M,Radoman,558,1:12806
987,F,Melinda,557,1:12829
988,F,Antonija,556,1:12852
989,F,Milika,555,1:12875
989,M,Paljo,555,1:12875
991,M,Asim,554,1:12898
991,M,Mehmed,554,1:12898
991,M,Radule,554,1:12898
991,F,Sneža,554,1:12898
995,F,Etela,552,1:12945
995,F,Mitra,552,1:12945
995,M,Nehat,552,1:12945
998,F,Vetka,551,1:12969
998,M,Zulfi,551,1:12969
1000,F,Begzad,550,1:12992
1000,F,Resmije,550,1:12992
1000,F,Suada,550,1:12992
1000,F,Zejni,550,1:12992
